บท,คำถาม,ตัวเลือก ก,ข,ค,ง,เฉลย(1-4),คำอธิบาย
c1b1,โครมาโทกราฟีแบบกระดาษแยกองค์ประกอบของสารผสมโดยอาศัยความแตกต่างของสิ่งใด?,จุดเดือด,ความสามารถในการละลายและการถูกดูดซับ,ขนาดอนุภาค,ประจุไฟฟ้า,2,โครมาโทกราฟีอาศัยความแตกต่างของการละลายในเฟสเคลื่อนที่และการถูกดูดซับบนเฟสอยู่กับที่ องค์ประกอบจึงเคลื่อนที่ได้ไม่เท่ากัน
c1b1,การแยกไอโอดีนของแข็งออกจากของผสมนิยมใช้วิธีใด?,การระเหิด,การกรอง,การตกผลึก,การหยิบออก,1,ไอโอดีนระเหิด (sublimation) จากของแข็งเป็นไอโดยตรงเมื่อได้รับความร้อน จึงแยกออกจากของผสมที่ไม่ระเหิดได้
c1b1,เมื่อสารเคมีกระเด็นเข้าตา การปฐมพยาบาลเบื้องต้นที่ถูกต้องคือข้อใด?,ขยี้ตาแรง ๆ,ล้างตาด้วยน้ำสะอาดไหลผ่านต่อเนื่องอย่างน้อย 15 นาที,หยอดน้ำยาล้างตาทันที,ปิดตาไว้เฉย ๆ,2,ต้องล้างตาด้วยน้ำสะอาดไหลผ่านต่อเนื่องอย่างน้อย 15 นาที แล้วรีบพบแพทย์ ห้ามขยี้ตา
c1b1,การอ่านปริมาตรของเหลวในกระบอกตวงที่ถูกต้องต้องอ่านอย่างไร?,อ่านที่ขอบบนสุดของของเหลว,อ่านที่ระดับท้องน้ำ (meniscus) โดยให้สายตาอยู่ระดับเดียวกัน,อ่านจากด้านบนมองลง,อ่านที่ก้นกระบอก,2,อ่านที่ส่วนโค้งต่ำสุดของผิวของเหลว (meniscus) โดยวางสายตาให้อยู่ระดับเดียวกันเพื่อลดความคลาดเคลื่อน
c1b1,ความหนาแน่นของสารที่มีมวล 5.0 กรัม ปริมาตร 2.0 มิลลิลิตร มีค่าเท่าใด?,0.4 g/mL,2.5 g/mL,10 g/mL,7.0 g/mL,2,ความหนาแน่น = มวล/ปริมาตร = 5.0/2.0 = 2.5 g/mL
c1b1,ความคลาดเคลื่อนเชิงระบบ (systematic error) มีลักษณะอย่างไร?,เกิดแบบสุ่มไม่มีทิศทาง,เกิดซ้ำในทิศทางเดิม มักแก้ได้ด้วยการปรับเทียบเครื่องมือ,ทำให้ค่ากระจายทั้งสองทาง,ไม่ส่งผลต่อความแม่น,2,ความคลาดเคลื่อนเชิงระบบเกิดซ้ำไปทางเดิมเสมอ (เช่น เครื่องชั่งไม่ศูนย์) แก้ได้ด้วยการปรับเทียบ (calibrate) เครื่องมือ
c1b1,"ตัวเลข 6.02 × 10²³ เขียนในรูปสัญกรณ์วิทยาศาสตร์ ส่วนที่เรียกว่า ""แมนทิสซา (mantissa)"" คือส่วนใด?",10²³,6.02,23,×,2,ในสัญกรณ์วิทยาศาสตร์ a × 10ⁿ ส่วน a (ในที่นี้คือ 6.02) เรียกว่าแมนทิสซา ส่วน n คือเลขชี้กำลัง
c1b1,เหตุใดจึงต้องสวมเสื้อกาวน์ (lab coat) ขณะทำปฏิบัติการเคมี?,เพื่อความสวยงาม,เพื่อป้องกันสารเคมีสัมผัสผิวหนังและเสื้อผ้า,เพื่อให้อบอุ่น,เพื่อกันฝุ่นเท่านั้น,2,เสื้อกาวน์เป็น PPE ที่ป้องกันสารเคมีกระเด็นถูกผิวหนังและเสื้อผ้า และถอดออกได้เร็วหากเปื้อนสาร
c1b2,อนุภาคใดในอะตอมมีประจุลบ?,โปรตอน,นิวตรอน,อิเล็กตรอน,นิวเคลียส,3,อิเล็กตรอนมีประจุลบ โปรตอนประจุบวก นิวตรอนเป็นกลาง
c1b2,อะตอม ²³₁₁Na มีจำนวนนิวตรอนเท่าใด?,11,12,23,34,2,นิวตรอน = เลขมวล − เลขอะตอม = 23 − 11 = 12
c1b2,ธาตุหมู่ 1A (โลหะแอลคาไล) มีเวเลนซ์อิเล็กตรอนกี่ตัว?,1,2,7,8,1,หมู่ 1A มีเวเลนซ์อิเล็กตรอน 1 ตัว จึงเสีย 1 อิเล็กตรอนได้ง่ายเป็นไอออน +1
c1b2,ธาตุใดมีค่าอิเล็กโตรเนกาติวิตีสูงที่สุด?,Na,Cl,O,F,4,ฟลูออรีน (F) มีอิเล็กโตรเนกาติวิตีสูงสุดในตารางธาตุ (3.98)
c1b2,เมื่อเลื่อนจากซ้ายไปขวาในคาบเดียวกัน พลังงานไอออไนเซชันมีแนวโน้มอย่างไร?,เพิ่มขึ้น,ลดลง,คงที่,ลดแล้วเพิ่ม,1,Zeff เพิ่มและรัศมีลด ทำให้ดึงอิเล็กตรอนแน่นขึ้น พลังงานไอออไนเซชันจึงเพิ่มจากซ้ายไปขวา
c1b2,อะตอม ¹⁹₉F มีจำนวนโปรตอนเท่าใด?,9,10,19,28,1,เลขอะตอม (ล่าง) = จำนวนโปรตอน = 9 ส่วน 19 คือเลขมวล (โปรตอน+นิวตรอน)
c1b2,การจัดเรียงอิเล็กตรอนของ Na (Z=11) เป็นอย่างไร?,"2, 9","2, 8, 1","8, 3","2, 8, 8",2,เติมตามระดับพลังงาน: 2 (K) + 8 (L) + 1 (M) = 11 อิเล็กตรอน
c1b2,ไอโซโทป (isotope) คืออะตอมที่มีลักษณะใด?,โปรตอนต่างกัน นิวตรอนเท่ากัน,โปรตอนเท่ากัน นิวตรอนต่างกัน,อิเล็กตรอนต่างกัน,เลขมวลเท่ากัน,2,ไอโซโทปคือธาตุเดียวกัน (โปรตอนเท่ากัน) แต่จำนวนนิวตรอนต่างกัน ทำให้เลขมวลต่างกัน
c1b2,เมื่อเลื่อนจากซ้ายไปขวาในคาบเดียวกัน รัศมีอะตอมมีแนวโน้มอย่างไร?,เพิ่มขึ้น,ลดลง,คงที่,เพิ่มแล้วลด,2,ประจุนิวเคลียสเพิ่ม ดึงอิเล็กตรอนเข้าใกล้ขึ้น รัศมีจึงลดลงจากซ้ายไปขวา
c1b2,ธาตุหมู่ 7A (แฮโลเจน) มีเวเลนซ์อิเล็กตรอนกี่ตัว?,1,5,7,8,3,หมู่ 7A มีเวเลนซ์อิเล็กตรอน 7 ตัว จึงรับอิเล็กตรอน 1 ตัวเพื่อครบออกเตต
c1b2,การทดลองยิงอนุภาคแอลฟาของรัทเทอร์ฟอร์ดนำไปสู่ข้อสรุปใด?,อะตอมเป็นทรงกลมตันประจุบวก,อะตอมมีนิวเคลียสขนาดเล็กประจุบวกอยู่ตรงกลาง,อิเล็กตรอนอยู่นิ่งกับที่,อะตอมไม่มีประจุ,2,อนุภาคแอลฟาส่วนใหญ่ทะลุผ่าน แต่บางส่วนเบนกลับ แสดงว่ามวลและประจุบวกรวมอยู่ที่นิวเคลียสเล็ก ๆ ตรงกลางอะตอม
c1b2,"เลขควอนตัมหลัก (principal quantum number, n) บ่งบอกสิ่งใด?",รูปร่างของออร์บิทัล,ระดับพลังงานหลักและขนาดของออร์บิทัล,ทิศทางในสนามแม่เหล็ก,สปินของอิเล็กตรอน,2,เลขควอนตัมหลัก n บอกระดับพลังงานหลักและขนาดของออร์บิทัล ค่า n ยิ่งมากออร์บิทัลยิ่งใหญ่และพลังงานสูง
c1b2,ออร์บิทัลชนิด s มีรูปร่างเป็นแบบใด?,ทรงกลม,รูปดัมเบล,รูปดอกไม้สี่กลีบ,รูปวงแหวน,1,ออร์บิทัล s มีรูปร่างทรงกลม ส่วนออร์บิทัล p มีรูปดัมเบล (สองพู)
c1b2,ระดับพลังงาน n = 2 บรรจุอิเล็กตรอนได้มากที่สุดกี่ตัว?,2,8,18,32,2,จำนวนอิเล็กตรอนสูงสุด = 2n² = 2(2²) = 8 ตัว
c1b2,หลักการกีดกันของเพาลี (Pauli exclusion principle) กล่าวว่าอย่างไร?,อิเล็กตรอนเติมออร์บิทัลพลังงานต่ำก่อน,อิเล็กตรอน 2 ตัวในออร์บิทัลเดียวกันต้องมีสปินตรงข้าม,อิเล็กตรอนกระจายเดี่ยวก่อนจับคู่,อิเล็กตรอนมีพลังงานเท่ากันทุกตัว,2,หลักการกีดกันของเพาลี: อิเล็กตรอนสองตัวในออร์บิทัลเดียวกันต้องมีสปินตรงข้ามกัน (ออร์บิทัลหนึ่งมีได้มากสุด 2 ตัว)
c1b2,ไอออน Na⁺ (Z ของ Na = 11) มีจำนวนอิเล็กตรอนเท่าใด?,10,11,12,23,1,Na เสียอิเล็กตรอน 1 ตัวกลายเป็น Na⁺ จึงมีอิเล็กตรอน 11 − 1 = 10 ตัว (เท่ากับนีออน)
c1b2,เลขหมู่ (group) ของธาตุในตารางธาตุสัมพันธ์กับสิ่งใดของธาตุหมู่หลัก?,จำนวนระดับพลังงาน,จำนวนเวเลนซ์อิเล็กตรอน,จำนวนนิวตรอน,เลขมวล,2,ธาตุหมู่หลัก (A) ที่อยู่หมู่เดียวกันมีจำนวนเวเลนซ์อิเล็กตรอนเท่ากัน จึงมีสมบัติคล้ายกัน
c1b2,เลขคาบ (period) ของธาตุบ่งบอกถึงสิ่งใด?,จำนวนเวเลนซ์อิเล็กตรอน,จำนวนระดับพลังงานหลักที่มีอิเล็กตรอน,จำนวนโปรตอน,ค่าอิเล็กโทรเนกาติวิตี,2,เลขคาบบอกจำนวนระดับพลังงานหลัก (ชั้น) ที่มีอิเล็กตรอนบรรจุอยู่
c1b2,การจัดเรียงอิเล็กตรอนของคลอรีน (Z = 17) เป็นอย่างไร?,"2, 8, 7","2, 7, 8","8, 8, 1","2, 8, 8",1,เติมตามระดับพลังงาน: 2 + 8 + 7 = 17 ดังนั้น Cl มีเวเลนซ์อิเล็กตรอน 7 ตัว
c1b2,รัศมีของไอออนบวก (cation) เมื่อเทียบกับอะตอมเดิมเป็นอย่างไร?,ใหญ่ขึ้น,เล็กลง,เท่าเดิม,เป็นศูนย์,2,ไอออนบวกเสียอิเล็กตรอนไป (มักเสียทั้งชั้นนอกสุด) แรงดึงดูดต่ออิเล็กตรอนที่เหลือมากขึ้น รัศมีจึงเล็กลงกว่าอะตอมเดิม
c1b2,พลังงานไอออไนเซชันลำดับที่สองมีค่ามากกว่าลำดับที่หนึ่งเสมอ เพราะเหตุใด?,อะตอมใหญ่ขึ้น,ต้องดึงอิเล็กตรอนออกจากไอออนบวกที่ยึดอิเล็กตรอนแน่นขึ้น,นิวตรอนเพิ่มขึ้น,อิเล็กตรอนมีพลังงานเท่ากัน,2,หลังเสียอิเล็กตรอนตัวแรกกลายเป็นไอออนบวก ประจุบวกดึงอิเล็กตรอนที่เหลือแน่นขึ้น จึงต้องใช้พลังงานมากขึ้นในการดึงตัวถัดไป
c1b2,"ไอโซโทปของไฮโดรเจนที่เรียกว่า ""ดิวทีเรียม"" มีจำนวนนิวตรอนเท่าใด?",0,1,2,3,2,ดิวทีเรียม (²H) มีโปรตอน 1 และนิวตรอน 1 ส่วนไฮโดรเจนปกติ (¹H) ไม่มีนิวตรอน และทริเทียม (³H) มีนิวตรอน 2
c1b2,ธาตุกัมมันตรังสีปล่อยรังสีออกมาเพราะเหตุใด?,มีอิเล็กตรอนมากเกินไป,นิวเคลียสไม่เสถียรจึงสลายตัวปล่อยพลังงาน/อนุภาค,มีพันธะเคมีแข็งแรง,อยู่ที่อุณหภูมิสูง,2,ธาตุกัมมันตรังสีมีนิวเคลียสไม่เสถียร จึงสลายตัวปล่อยรังสี (แอลฟา บีตา แกมมา) เพื่อเข้าสู่สภาพเสถียรกว่า
c1b2,แนวโน้มค่าอิเล็กโทรเนกาติวิตีในหมู่เดียวกันเมื่อเลื่อนลงล่างเป็นอย่างไร?,เพิ่มขึ้น,ลดลง,คงที่,เพิ่มแล้วลด,2,เมื่อลงล่างในหมู่เดียวกัน รัศมีอะตอมใหญ่ขึ้น นิวเคลียสดึงอิเล็กตรอนคู่พันธะได้น้อยลง ค่าอิเล็กโทรเนกาติวิตีจึงลดลง
c1b3,โมเลกุล N₂ มีพันธะระหว่างอะตอมไนโตรเจนเป็นแบบใด?,พันธะเดี่ยว,พันธะคู่,พันธะสาม,พันธะไอออนิก,3,N₂ ใช้อิเล็กตรอนร่วมกัน 3 คู่ เป็นพันธะสาม (N≡N) จึงเสถียรมาก
c1b3,สารใดนำไฟฟ้าได้เมื่อหลอมเหลวหรือละลายน้ำ?,สารโคเวเลนต์,สารประกอบไอออนิก,แก๊สมีตระกูล,โลหะของแข็ง,2,สารประกอบไอออนิกนำไฟฟ้าได้เมื่อไอออนเคลื่อนที่อิสระ (หลอมเหลว/ละลายน้ำ)
c1b3,โมเลกุล CO₂ มีรูปร่างแบบใด?,งอ,เส้นตรง,ทรงสี่หน้า,พีระมิด,2,C มี 2 พันธะคู่ ไม่มีคู่โดดเดี่ยว ตาม VSEPR เป็นเส้นตรง (มุม 180°)
c1b3,พันธะโคเวเลนต์ไม่มีขั้วเกิดขึ้นระหว่างอะตอมแบบใด?,อะตอมต่างชนิดที่ EN ต่างกันมาก,อะตอมชนิดเดียวกัน,โลหะกับอโลหะ,ไอออนบวกกับไอออนลบ,2,อะตอมชนิดเดียวกัน เช่น Cl₂ มี EN เท่ากัน ใช้อิเล็กตรอนร่วมเท่า ๆ กัน จึงไม่มีขั้ว
c1b3,แรงระหว่างโมเลกุลชนิดใดอ่อนที่สุด?,พันธะไฮโดรเจน,แรงไดโพล-ไดโพล,แรงลอนดอน,พันธะไอออนิก,3,แรงลอนดอน (London dispersion) เป็นแรงระหว่างโมเลกุลที่อ่อนที่สุด เกิดในทุกโมเลกุล
c1b3,สารประกอบ NaCl ยึดกันด้วยพันธะชนิดใด?,โคเวเลนต์,ไอออนิก,โลหะ,ไฮโดรเจน,2,โลหะ (Na) ให้อิเล็กตรอนแก่อโลหะ (Cl) เกิดไอออน Na⁺ และ Cl⁻ ดึงดูดกันเป็นพันธะไอออนิก
c1b3,โมเลกุล CH₄ มีรูปร่างเรขาคณิตแบบใด?,เส้นตรง,ทรงสี่หน้า (tetrahedral),สามเหลี่ยมแบนราบ,งอ,2,C มี 4 พันธะ ไม่มีคู่โดดเดี่ยว ตาม VSEPR จึงเป็นทรงสี่หน้า มุม 109.5°
c1b3,พันธะระหว่างอะตอมในโมเลกุล O₂ เป็นแบบใด?,พันธะเดี่ยว,พันธะคู่,พันธะสาม,พันธะไอออนิก,2,O₂ ใช้อิเล็กตรอนร่วมกัน 2 คู่ เป็นพันธะคู่ (O=O)
c1b3,สารใดมีพันธะไฮโดรเจนระหว่างโมเลกุล?,CH₄,CO₂,H₂O,Cl₂,3,"พันธะไฮโดรเจนเกิดเมื่อ H ต่อกับ F, O, N ที่มีอิเล็กโตรเนกาติวิตีสูง — H₂O มี O–H จึงมีพันธะไฮโดรเจน"
c1b3,เหตุใดโมเลกุล H₂O จึงมีขั้ว?,รูปร่างเส้นตรงสมมาตร,รูปร่างงอและอะตอมต่างชนิดมีอิเล็กโตรเนกาติวิตีต่างกัน,ไม่มีอิเล็กตรอนคู่โดดเดี่ยว,มีพันธะไอออนิก,2,H₂O รูปร่างงอ (มุม ~104.5°) ไดโพลของพันธะ O–H ไม่หักล้างกัน จึงเป็นโมเลกุลมีขั้ว
c1b3,พันธะใดเกิดจากการให้และรับอิเล็กตรอนระหว่างโลหะกับอโลหะ?,พันธะโคเวเลนต์,พันธะไอออนิก,พันธะโลหะ,พันธะไฮโดรเจน,2,พันธะไอออนิกเกิดจากโลหะให้อิเล็กตรอนกลายเป็นไอออนบวก และอโลหะรับอิเล็กตรอนกลายเป็นไอออนลบ
c1b3,พันธะใดเกิดจากการใช้อิเล็กตรอนคู่ร่วมกันระหว่างอะตอมของอโลหะ?,พันธะไอออนิก,พันธะโลหะ,พันธะโคเวเลนต์,พันธะไฮโดรเจน,3,พันธะโคเวเลนต์เกิดจากอะตอมอโลหะใช้อิเล็กตรอนคู่ร่วมกัน
c1b3,พันธะโลหะอธิบายได้ด้วยแบบจำลองใด?,ทะเลอิเล็กตรอนล้อมรอบไอออนบวกของโลหะ,การให้รับอิเล็กตรอนระหว่างไอออน,การใช้อิเล็กตรอนคู่ร่วมกัน,แรงดึงดูดระหว่างขั้ว,1,พันธะโลหะคือไอออนบวกของโลหะฝังอยู่ในทะเลอิเล็กตรอนที่เคลื่อนที่อิสระ
c1b3,สมบัตินำไฟฟ้าได้ดีของโลหะเป็นผลมาจากสิ่งใด?,ไอออนบวกเคลื่อนที่ได้,อิเล็กตรอนอิสระเคลื่อนที่ได้,พันธะไอออนิกแข็งแรง,โมเลกุลมีขั้ว,2,อิเล็กตรอนอิสระในทะเลอิเล็กตรอนเคลื่อนที่ได้จึงนำไฟฟ้าได้ดี
c1b3,กฎออกเตตกล่าวว่าอะตอมมีแนวโน้มจะมีเวเลนซ์อิเล็กตรอนเท่าใดจึงเสถียร?,2,6,8,10,3,กฎออกเตตคืออะตอมมีแนวโน้มมีเวเลนซ์อิเล็กตรอนครบ 8 เหมือนแก๊สเฉื่อย
c1b3,ธาตุใดเป็นข้อยกเว้นของกฎออกเตตโดยเสถียรเมื่อมีอิเล็กตรอน 2 ตัว?,ฮีเลียม,นีออน,อาร์กอน,คริปทอน,1,ฮีเลียมเสถียรด้วยอิเล็กตรอน 2 ตัวในระดับพลังงานเดียว เรียกกฎดูเอต
c1b3,ค่าอิเล็กโทรเนกาติวิตีหมายถึงอะไร?,ความสามารถในการให้อิเล็กตรอน,ความสามารถในการดึงอิเล็กตรอนคู่พันธะเข้าหาตัว,จำนวนอิเล็กตรอนในอะตอม,พลังงานในการสลายพันธะ,2,อิเล็กโทรเนกาติวิตีคือความสามารถของอะตอมในการดึงอิเล็กตรอนคู่พันธะเข้าหาตัวเอง
c1b3,ธาตุใดมีค่าอิเล็กโทรเนกาติวิตีสูงที่สุด?,ออกซิเจน,ฟลูออรีน,คลอรีน,ไนโตรเจน,2,ฟลูออรีนมีค่าอิเล็กโทรเนกาติวิตีสูงที่สุดในตารางธาตุ
c1b3,พันธะโคเวเลนต์ที่อะตอมทั้งสองดึงอิเล็กตรอนเท่ากันเรียกว่าพันธะชนิดใด?,พันธะโคเวเลนต์มีขั้ว,พันธะโคเวเลนต์ไม่มีขั้ว,พันธะไอออนิก,พันธะไฮโดรเจน,2,เมื่ออะตอมเหมือนกันหรือค่า EN เท่ากัน อิเล็กตรอนกระจายเท่ากัน เกิดพันธะไม่มีขั้ว
c1b3,โมเลกุลใดเป็นโมเลกุลไม่มีขั้ว?,น้ำ (H2O),แอมโมเนีย (NH3),คาร์บอนไดออกไซด์ (CO2),ไฮโดรเจนคลอไรด์ (HCl),3,CO2 มีรูปร่างเส้นตรง สภาพขั้วของพันธะหักล้างกัน จึงเป็นโมเลกุลไม่มีขั้ว
c1b3,น้ำ (H2O) เป็นโมเลกุลมีขั้วเพราะเหตุใด?,มีรูปร่างเส้นตรง,มีรูปร่างมุมงอทำให้สภาพขั้วไม่หักล้าง,ออกซิเจนและไฮโดรเจนมีค่า EN เท่ากัน,ไม่มีอิเล็กตรอนคู่โดดเดี่ยว,2,น้ำมีรูปร่างมุมงอ สภาพขั้วของพันธะ O-H ไม่หักล้างกัน จึงมีขั้วสุทธิ
c1b3,ทฤษฎี VSEPR ใช้ทำนายสิ่งใดของโมเลกุล?,ชนิดของพันธะ,รูปร่างของโมเลกุล,พลังงานพันธะ,จุดเดือด,2,VSEPR ทำนายรูปร่างโมเลกุลจากการผลักกันของคู่อิเล็กตรอนรอบอะตอมกลาง
c1b3,โมเลกุล CH4 (มีเทน) มีรูปร่างแบบใด?,เส้นตรง,สามเหลี่ยมแบนราบ,ทรงสี่หน้า (tetrahedral),มุมงอ,3,CH4 มีคู่อิเล็กตรอน 4 คู่รอบคาร์บอน จัดตัวเป็นทรงสี่หน้า มุมพันธะ 109.5 องศา
c1b3,โมเลกุล NH3 (แอมโมเนีย) มีรูปร่างแบบใด?,ทรงสี่หน้า,พีระมิดฐานสามเหลี่ยม,เส้นตรง,สามเหลี่ยมแบนราบ,2,NH3 มีคู่อิเล็กตรอนโดดเดี่ยว 1 คู่ ทำให้รูปร่างเป็นพีระมิดฐานสามเหลี่ยม
c1b3,คู่อิเล็กตรอนโดดเดี่ยว (lone pair) มีผลต่อรูปร่างโมเลกุลอย่างไร?,ไม่มีผล,ผลักแรงกว่าคู่พันธะทำให้มุมพันธะเล็กลง,ทำให้มุมพันธะใหญ่ขึ้นเสมอ,ทำให้โมเลกุลไม่มีขั้ว,2,คู่อิเล็กตรอนโดดเดี่ยวผลักแรงกว่าคู่พันธะ จึงบีบให้มุมพันธะเล็กลง
c1b3,โครงสร้างลิวอิสแสดงสิ่งใด?,การจัดเรียงอิเล็กตรอนเวเลนซ์และพันธะ,น้ำหนักของอะตอม,จำนวนนิวตรอน,พลังงานไอออไนเซชัน,1,โครงสร้างลิวอิสแสดงเวเลนซ์อิเล็กตรอน คู่พันธะ และคู่โดดเดี่ยวของโมเลกุล
c1b3,พันธะคู่ในโมเลกุลออกซิเจน (O2) ใช้อิเล็กตรอนร่วมกันกี่คู่?,1 คู่,2 คู่,3 คู่,4 คู่,2,พันธะคู่คือการใช้อิเล็กตรอนร่วมกัน 2 คู่ (4 อิเล็กตรอน)
c1b3,แรงระหว่างโมเลกุลใดอ่อนที่สุด?,พันธะไฮโดรเจน,แรงดึงดูดระหว่างขั้ว,แรงลอนดอน (แรงแผ่กระจาย),พันธะไอออนิก,3,แรงลอนดอนเป็นแรงระหว่างโมเลกุลที่อ่อนที่สุด เกิดจากขั้วชั่วคราว
c1b3,พันธะไฮโดรเจนเกิดขึ้นได้เมื่อไฮโดรเจนเชื่อมกับธาตุใด?,คาร์บอน ซิลิคอน,ฟลูออรีน ออกซิเจน ไนโตรเจน,โซเดียม โพแทสเซียม,เหล็ก ทองแดง,2,"พันธะไฮโดรเจนเกิดเมื่อ H เกาะกับ F, O หรือ N ซึ่งมีค่า EN สูง"
c1b3,เหตุใดน้ำจึงมีจุดเดือดสูงกว่าที่ควรเป็นเมื่อเทียบกับขนาดโมเลกุล?,มีพันธะไอออนิก,มีพันธะไฮโดรเจนระหว่างโมเลกุล,มีมวลโมเลกุลมาก,เป็นโลหะ,2,น้ำมีพันธะไฮโดรเจนระหว่างโมเลกุล ต้องใช้พลังงานมากในการแยก จุดเดือดจึงสูง
c1b3,สารประกอบไอออนิกในสถานะใดที่นำไฟฟ้าได้?,ของแข็ง,หลอมเหลวหรือละลายน้ำ,ทุกสถานะ,ไม่นำไฟฟ้าเลย,2,สารประกอบไอออนิกนำไฟฟ้าได้เมื่อหลอมเหลวหรือละลายน้ำ เพราะไอออนเคลื่อนที่ได้
